순번_정류장ID,1-2801688,2-2801689,3-2801718,4-2801231,5-2801747,6-2805782,7-2805783,8-2805793,9-2805784,10-2801790,11-2801952,12-2805785
1-2801688,0,0.366735,0.8892309999999999,1.098787,1.608117,1.8221880000000001,2.193518,2.397802,2.95474,3.375811,4.095449,4.283876
2-2801689,,0,0.522496,0.7320519999999999,1.241382,1.4554529999999999,1.8267829999999998,2.0310669999999997,2.588005,3.009076,3.728714,3.917141
3-2801718,,,0,0.209556,0.718886,0.932957,1.304287,1.5085709999999999,2.065509,2.48658,3.206218,3.3946449999999997
4-2801231,,,,0,0.5093300000000001,0.7234010000000001,1.0947310000000001,1.299015,1.855953,2.277024,2.9966619999999997,3.1850889999999996
5-2801747,,,,,0,0.214071,0.5854010000000001,0.7896850000000001,1.3466230000000001,1.767694,2.4873320000000003,2.675759
6-2805782,,,,,,0,0.37133,0.575614,1.132552,1.553623,2.2732609999999998,2.4616879999999997
7-2805783,,,,,,,0,0.204284,0.7612220000000001,1.182293,1.901931,2.090358
8-2805793,,,,,,,,0,0.556938,0.9780090000000001,1.6976470000000001,1.8860740000000003
9-2805784,,,,,,,,,0,0.42107100000000003,1.140709,1.329136
10-2801790,,,,,,,,,,0,0.719638,0.908065
11-2801952,,,,,,,,,,,0,0.188427
12-2805785,,,,,,,,,,,,0
